         43692599 function calls (42854001 primitive calls) in 2335.279 seconds

   Ordered by: cumulative time
   List reduced from 1904 to 571 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7770    0.042    0.000    0.287    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:250(can_exit)
   497774    0.281    0.000    0.281    0.000 {method 'get' of 'dict' objects}
     7124    0.059    0.000    0.277    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:106(_encode_params)
     3562    0.031    0.000    0.271    0.000 C:\Python312-32\Lib\site-packages\urllib3\connection.py:285(putrequest)
     7124    0.271    0.000    0.271    0.000 {built-in method winreg.OpenKey}
     3562    0.036    0.000    0.269    0.000 C:\Python312-32\Lib\site-packages\requests\adapters.py:370(request_url)
        1    0.000    0.000    0.267    0.267 C:\Python312-32\Lib\site-packages\paramiko\client.py:620(_key_from_filepath)
        2    0.000    0.000    0.267    0.133 C:\Python312-32\Lib\site-packages\paramiko\rsakey.py:49(__init__)
        1    0.000    0.000    0.266    0.266 C:\Python312-32\Lib\site-packages\paramiko\pkey.py:400(from_private_key_file)
        1    0.000    0.000    0.266    0.266 C:\Python312-32\Lib\site-packages\paramiko\rsakey.py:195(_from_private_key_file)
     2192    0.095    0.000    0.266    0.000 C:\Python312-32\Lib\site-packages\keyboard\_winkeyboard.py:498(process_key)
     6914    0.076    0.000    0.265    0.000 C:\Python312-32\Lib\http\cookiejar.py:1680(extract_cookies)
   441688    0.264    0.000    0.264    0.000 C:\Python312-32\Lib\os.py:703(__iter__)
   273069    0.169    0.000    0.263    0.000 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:103(<lambda>)
        1    0.000    0.000    0.263    0.263 C:\Python312-32\Lib\site-packages\paramiko\rsakey.py:203(_decode_key)
        1    0.000    0.000    0.263    0.263 C:\Python312-32\Lib\site-packages\cryptography\hazmat\primitives\serialization\base.py:46(load_der_private_key)
        1    0.000    0.000    0.263    0.263 C:\Python312-32\Lib\site-packages\cryptography\hazmat\backends\openssl\backend.py:799(load_der_private_key)
     3562    0.015    0.000    0.260    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:611(prepare_cookies)
4232/4231    0.035    0.000    0.252    0.000 C:\Python312-32\Lib\site-packages\urllib3\connection.py:270(close)
   173710    0.145    0.000    0.252    0.000 C:\Python312-32\Lib\threading.py:314(_is_owned)
    32082    0.123    0.000    0.247    0.000 C:\Python312-32\Lib\os.py:680(__getitem__)
     3562    0.039    0.000    0.244    0.000 C:\Python312-32\Lib\site-packages\requests\cookies.py:140(get_cookie_header)
    31545    0.107    0.000    0.244    0.000 C:\Python312-32\Lib\_collections_abc.py:804(get)
    35989    0.116    0.000    0.237    0.000 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\worksheet.py:252(_get_cell)
     3562    0.099    0.000    0.237    0.000 C:\Python312-32\Lib\http\client.py:1126(putrequest)
    10371    0.029    0.000    0.237    0.000 C:\Python312-32\Lib\email\message.py:619(get_content_maintype)
     3457    0.035    0.000    0.235    0.000 C:\Python312-32\Lib\email\feedparser.py:182(close)
     3457    0.067    0.000    0.228    0.000 C:\Python312-32\Lib\email\message.py:482(items)
    28496    0.115    0.000    0.226    0.000 C:\Python312-32\Lib\urllib\parse.py:164(hostname)
    17818    0.048    0.000    0.223    0.000 C:\Python312-32\Lib\site-packages\openpyxl\cell\cell.py:215(value)
     3561    0.040    0.000    0.223    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:135(make_thread_killed_message)
