         5675785 function calls (5660939 primitive calls) in 747.742 seconds

   Ordered by: cumulative time
   List reduced from 1676 to 503 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.232    0.039 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:56(__init__)
        6    0.001    0.000    0.217    0.036 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:106(_merge_named_styles)
        6    0.003    0.000    0.199    0.033 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\named_styles.py:263(names)
    18602    0.088    0.000    0.198    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\base.py:68(__set__)
      250    0.011    0.000    0.195    0.001 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\named_styles.py:51(__init__)
     3563    0.033    0.000    0.178    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\json\__init__.py:299(loads)
    17818    0.098    0.000    0.177    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\cell.py:153(check_string)
    29430    0.118    0.000    0.154    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\base.py:39(__set__)
    18321    0.128    0.000    0.152    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\cell.py:108(__init__)
     3560    0.057    0.000    0.148    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:1044(_stop)
    10074    0.038    0.000    0.141    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\base.py:164(__set__)
    17791    0.110    0.000    0.138    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\worksheet\worksheet.py:266(_add_cell)
     7119    0.064    0.000    0.135    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\hooks\cmd_injection.py:74(h4)
       30    0.000    0.000    0.132    0.004 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\sequence.py:93(from_tree)
       30    0.002    0.000    0.132    0.004 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\sequence.py:94(<listcomp>)
79632/74353    0.065    0.000    0.129    0.000 {built-in method builtins.hash}
     3563    0.031    0.000    0.128    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\json\decoder.py:332(decode)
        5    0.001    0.000    0.118    0.024 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\excel.py:212(read_worksheets)
   226199    0.115    0.000    0.115    0.000 {method 'pop' of 'list' objects}
380506/380457    0.111    0.000    0.111    0.000 {built-in method builtins.len}
     3567    0.025    0.000    0.110    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:555(__init__)
   397065    0.108    0.000    0.108    0.000 {method 'append' of 'list' objects}
     3560    0.103    0.000    0.103    0.000 {method 'strftime' of 'datetime.date' objects}
   234470    0.102    0.000    0.102    0.000 {method 'lower' of 'str' objects}
   117800    0.100    0.000    0.100    0.000 {method 'split' of 'str' objects}
    18142    0.068    0.000    0.100    0.000 {built-in method builtins.setattr}
      352    0.013    0.000    0.096    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\fonts.py:69(__init__)
      580    0.013    0.000    0.094    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\alignment.py:45(__init__)
        5    0.000    0.000    0.092    0.018 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\worksheet\_reader.py:464(bind_all)
    28480    0.070    0.000    0.091    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\random.py:235(_randbelow_with_getrandbits)
     5397    0.021    0.000    0.087    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\nested.py:28(__set__)
     3559    0.079    0.000    0.086    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\kill_thread.py:4(kill_thread)
        1    0.000    0.000    0.085    0.085 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connectionpool.py:1088(_validate_conn)
     3560    0.027    0.000    0.085    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:822(_maintain_shutdown_locks)
        1    0.000    0.000    0.084    0.084 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connection.py:609(connect)
