         44177217 function calls (43296146 primitive calls) in 2347.560 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 572 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36933    0.122    0.000    1.272    0.000 C:\Python312-32\Lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
     3474    0.027    0.000    1.196    0.000 C:\Python312-32\Lib\email\feedparser.py:171(feed)
     6948    0.080    0.000    1.192    0.000 C:\Python312-32\Lib\email\feedparser.py:176(_call_parse)
     6948    0.034    0.000    1.189    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:755(_fp_read)
17820/17818    1.111    0.000    1.189    0.000 {built-in method builtins.exec}
     3562    0.063    0.000    1.185    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:230(_new_pool)
     6948    0.044    0.000    1.155    0.000 C:\Python312-32\Lib\http\client.py:463(read)
   216161    0.619    0.000    1.124    0.000 C:\Python312-32\Lib\site-packages\openpyxl\styles\alignment.py:68(__iter__)
     6948    0.224    0.000    1.112    0.000 C:\Python312-32\Lib\email\feedparser.py:216(_parsegen)
     3562    0.206    0.000    1.108    0.000 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:178(__init__)
     3501    0.126    0.000    1.047    0.000 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:1174(_close_pool_connections)
     4565    0.020    0.000    1.032    0.000 {method 'read' of '_io.BufferedReader' objects}
     3562    0.102    0.000    1.001    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:410(prepare_url)
    51995    0.526    0.000    0.997    0.000 C:\Python312-32\Lib\queue.py:122(put)
   441688    0.747    0.000    0.996    0.000 C:\Python312-32\Lib\_collections_abc.py:868(__iter__)
24938/22261    1.020    0.000    0.992    0.000 {built-in method nt._path_exists}
     3474    0.067    0.000    0.906    0.000 C:\Python312-32\Lib\site-packages\requests\adapters.py:294(build_response)
    28490    0.866    0.000    0.869    0.000 {method 'sendall' of '_socket.socket' objects}
   251209    0.553    0.000    0.867    0.000 C:\Python312-32\Lib\site-packages\keyboard\_canonical_names.py:1233(normalize_name)
    24934    0.167    0.000    0.844    0.000 C:\Python312-32\Lib\site-packages\requests\sessions.py:61(merge_setting)
     3561    0.115    0.000    0.828    0.000 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:130(write_row)
     3562    0.048    0.000    0.819    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py:128(process_net_command_json)
     7812    0.331    0.000    0.787    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:1681(process_internal_commands)
     3562    0.096    0.000    0.717    0.000 C:\Python312-32\Lib\site-packages\requests\sessions.py:391(__init__)
    21196    0.104    0.000    0.717    0.000 C:\Python312-32\Lib\site-packages\requests\structures.py:40(__init__)
    28320    0.366    0.000    0.672    0.000 C:\Python312-32\Lib\_collections_abc.py:974(update)
43838/38660    0.400    0.000    0.658    0.000 C:\Python312-32\Lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
        5    0.000    0.000    0.658    0.132 C:\Python312-32\Lib\site-packages\openpyxl\reader\excel.py:314(load_workbook)
